question,answer
What are dedicated lanes?,"Dedicated lanes are specific roads or paths reserved for pedestrians, cyclists, or other designated users."
What is the technical classification of roads?,The technical classification of roads must be determined in road construction investment projects and must comply with approved regulations and technical standards.
How is the technical classification of roads regulated?,"It is defined in national technical standards and road design standards, including expressways, different road grades, and urban roads."
What are the different technical grades of roads?,"Roads are classified into expressways, Grade I to VI roads, urban roads, and other graded roads such as A, B, C, and D."
Who regulates the technical classification of roads?,"The Minister of Transport issues national technical regulations for expressways and graded roads, while the Minister of Construction regulates urban roads."
How are road names assigned?,"Roads are named after historical figures, landmarks, cultural events, or local customs."
How are road numbers assigned?,"Road numbers are assigned using natural numbers, sometimes with additional letters if necessary."
What happens when an urban road overlaps with another road?,"In such cases, both the urban road name and the name/number of the overlapping road are used."
How are international roads named and numbered?,International roads follow naming conventions based on agreements between Vietnam and relevant international organizations or countries.
What happens when multiple roads overlap?,"The road with the higher administrative management level retains its name and number, except for special cases defined in regulations."
Are all roads required to have names and numbers?,"No, commune roads, village roads, internal roads, and dedicated roads are not required to have names or numbers."
Are internal roads required to be named?,"No, internal roads in residential areas, industrial zones, and commercial areas are not required to be named."
When is renaming a road necessary?,A road may be renamed if there are changes in administrative boundaries or under special government decisions.
Do village roads need official road numbers?,"No, village roads do not require official road numbers unless deemed necessary by local authorities."
Who has the authority to rename roads?,The government and relevant authorities regulate road naming and renaming policies.
What must land for road infrastructure comply with?,"Land for road infrastructure must comply with the national road network plan, provincial and district land-use plans, and related planning documents."
How is land for road infrastructure in urban areas classified?,It is considered a part of transportation land within the total land allocated for urban construction.
What percentage of urban construction land should be allocated for transportation?,"The percentage should range from 11% to 26%, depending on urban infrastructure development standards and landscape planning."
How does the percentage vary for special urban areas?,"For special urban areas designated by the National Assembly Standing Committee, the transportation land ratio must be at least 50% of the standard percentage."
Why is transportation land allocation important?,"It ensures proper urban planning, supports infrastructure development, and maintains efficient traffic flow."
What factors influence the percentage of transportation land?,"Factors include urban classification, infrastructure development, and legal regulations on urban planning."
What happens if an urban area does not meet the required transportation land ratio?,Authorities may require adjustments in land-use plans to comply with legal standards and urban development goals.
What is included in land for road infrastructure?,"It includes land for roads, transport facilities like bus stations and rest stops, and road safety corridors."
What are the main components of road land?,"Road land consists of land for road construction and maintenance, as well as land to protect and sustain road operations."
What facilities can be built on road infrastructure land?,"Bus stations, parking lots, rest stops, and auxiliary structures for road services."
How should land for road infrastructure be managed?,"It must comply with regulations on land use, urban planning, and transportation laws."
What is a road safety corridor?,A designated area along roads to ensure safety and prevent encroachments.
Why is land allocation for road infrastructure important?,"It ensures smooth transportation, road safety, and space for essential facilities."
What should property owners do if road drainage affects their land?,"They must allow proper drainage without obstruction, and any damages must be compensated."
Who is responsible for road drainage management?,The road management authority must minimize damage to private properties and compensate if necessary.
How is maintenance land determined for embankment roads?,It extends outward from the bottom of the embankment slope.
How is maintenance land determined for excavated roads?,It is measured from the outermost edge of the drainage trench or slope top.
What is the rule for maintenance land around bridges and tunnels?,It extends from the outermost structural component to ensure stability and access.
How is maintenance land determined for urban roads?,"It uses sidewalk space if available, otherwise part of the road is allocated for maintenance."
What happens when road maintenance land overlaps with railways?,It must not affect railway operations and safety regulations apply.
What is the principle for overlapping road maintenance land?,The road with a higher technical classification takes priority.
How is maintenance land determined for ferry terminals?,It includes land from the road leading to the terminal and surrounding infrastructure.
What happens when road maintenance land overlaps with dikes?,"The land must not compromise flood protection, and solutions must be implemented if needed."
How is maintenance land managed near urban structures?,Boundaries are defined based on existing road elements like sidewalks or fences.
What is the standard for maintenance land width in non-urban areas?,It depends on road classification and must allow space for drainage and repairs.
How is maintenance land allocated for underground tunnels?,"It extends from tunnel entrances, ventilation shafts, and emergency exits."
How is maintenance land managed for road support structures?,"It includes protective barriers, retaining walls, and other stability-related elements."
What determines the width of a road safety corridor in non-urban areas?,It is measured from the outer edge of maintenance land and depends on road classification.
How is the width of urban road safety corridors determined?,It is measured from the maintenance land boundary to the red line boundary but cannot exceed non-urban road standards.
How are safety corridors for bridges and ferry terminals determined?,"They depend on the structure's size and river classification, measured from the outermost edge."
What defines the safety corridor for elevated roads and overpasses?,It extends from the outer boundary of the bridge maintenance land.
What is the rule for tunnels regarding road safety corridors?,The corridor extends outward from the protective land of the tunnel.
Do small alleyways and village roads require safety corridors?,"No, if they do not allow automobile traffic."
What happens when road safety corridors overlap with railway corridors?,"Railway corridors take priority, but railway management must not compromise road quality."
How are safety corridors managed when overlapping with waterway protection zones?,Waterway safety management must not affect road quality or safety.
What is the principle for roads overlapping with dike protection corridors?,Dike protection has priority unless the road safety corridor is wider.
How is a safety corridor determined when multiple roads intersect?,It is based on the road with the higher technical classification.
Who is responsible for marking road safety boundary markers?,The road construction investor must set and transfer them to the road management authority.
What role does the road management authority have in boundary markers?,"They must publicly announce, adjust, and maintain these markers."
How should land within the road safety corridor be managed?,"It must comply with road laws, land laws, and public property management regulations."
What are the key safety requirements for using land in road safety corridors?,"It must not obstruct road signs, visibility, or traffic order."
Can private land within a safety corridor be used before state acquisition?,"Yes, but it must follow road safety regulations."
What precautions must be taken when planting trees in road safety corridors?,Trees must be trimmed to avoid obstructing signs and traffic views.
What happens if trees in a road corridor pose a risk to safety?,They must be trimmed or removed to prevent falling and damage.
How are overlapping safety corridors with dike protection zones regulated?,"It must comply with dike, irrigation, railway, and road safety laws."
Where should frontage roads (service roads) be built?,"Outside the safety corridor unless necessary, in which case conditions apply."
Under what conditions can a service road be built inside a road safety corridor?,It must allow future road expansion and ensure traffic safety.
What is the minimum vertical clearance for roads?,It must not be lower than the designed clearance height of the road.
How is vertical clearance adjusted for road elevation changes?,The additional height for resurfacing and settlement compensation is added to the clearance height.
What is the minimum overhead clearance for bridges?,It must be 2 meters above the highest structural point but not lower than the road clearance height.
What clearance must be ensured for bridges over railways?,They must meet the clearance requirements for railways below.
What clearance must be ensured for bridges over waterways?,They must meet the navigation clearance required by maritime and inland waterway laws.
How is the protection range of road tunnels determined?,"It extends outward to ensure structural safety, equipment operation, and tunnel lifespan."
What is the minimum clearance for telecommunication cables over roads?,At least 5.5 meters above the highest road surface point.
What is the clearance requirement for power lines over roads?,It must be higher than the road clearance plus electrical safety clearance.
How is the clearance for power lines over bridges determined?,It must comply with bridge clearance plus electrical safety requirements.
What additional clearance is needed for power lines over streetlights?,At least 2 meters above the highest streetlight point plus electrical safety clearance.
What extra safety requirement applies to cables over suspension bridges?,They must not endanger the bridge’s suspension cables and towers.
What is the minimum clearance for toll booths and other road structures?,At least 2 meters above the highest point of the structure.
What must be ensured when constructing underground structures beneath roads?,They must follow technical standards and not affect road safety.
What types of advertising signs are covered by the law?,"Billboards, banners, signboards, lightboxes, and digital screens."
Where are advertising signs allowed?,"Within road safety corridors, except on highways and intersections."
When can signs be installed at intersections?,If the intersection’s central island is more than twice the corridor width.
What safety requirements must advertising signs meet?,They must not block traffic signs or obstruct driver visibility.
What construction requirements apply to advertising signs?,"They must be structurally sound, follow building and advertising laws."
Who approves advertising sign installation?,"The road management authority must approve location, size, and construction plans."
What must be done when removing advertising signs?,It must not damage road infrastructure and no compensation is provided.
What types of infrastructure can be built within road infrastructure protection areas?,"Defense and security works, telecom and power lines, energy and water supply systems, irrigation and disaster prevention works, conveyors, and special infrastructures."
Can water treatment plants be built within the road infrastructure protection area?,"No, water treatment plants are not allowed."
What must be ensured when building infrastructure within the road protection area?,"Compliance with technical standards, traffic safety, environmental laws, and no impact on road infrastructure operations."
Who must approve the construction of infrastructure in road protection areas?,The competent road management authority must provide written approval.
Which infrastructures do not require approval when built above roads?,"Power lines, telecom cables, and electric wires that meet safety and clearance requirements."
What are the conditions for exempted infrastructures built above roads?,"Supports must be outside the safety corridor, height must meet legal requirements, and they must not affect road safety."
Who must approve infrastructure construction in specialized roads?,The manager or user of the specialized road must agree.
Who is responsible for relocating affected infrastructures within road protection areas?,"Owners or managers of the infrastructure must relocate them if required, except for defense, security, or dike-related works."
Under what circumstances must infrastructure be relocated?,"When requested for new road projects, safety concerns arise, or if the infrastructure is illegally built."
What are examples of shared infrastructure in roads?,"Telecom cables, power lines, public lighting, and water supply systems."
What must be ensured when constructing shared infrastructure?,"Compliance with regulations, safety standards, and environmental protection."
Why should urban road construction integrate shared infrastructure?,"To ensure efficiency, save land, reduce costs, and maintain urban aesthetics."
What must bridges provide for shared infrastructure?,"Space for telecom cables, water pipes, and power lines, excluding high-voltage lines."
What must tunnels include for shared infrastructure?,"Cable ducts, fire safety systems, water supply, and drainage pipes."
What is required when managing and maintaining shared infrastructure?,"It must not affect road safety, maintenance, or public safety."
Who must coordinate in managing shared infrastructure?,Both road managers and infrastructure managers must cooperate.
When must shared infrastructure be removed or relocated?,"When required for road maintenance, expansion, or safety concerns."
What safety aspects must be ensured in managing shared infrastructure?,"Fire prevention, explosion safety, and traffic safety."
Who must contribute to the costs of maintaining shared infrastructure?,"Users of shared infrastructure, except for national defense and security projects."
What are the two main aspects of road infrastructure protection?,Ensuring safety and preventing illegal use or destruction.
What does road infrastructure protection prevent?,"Encroachment, illegal connections, destruction, and unauthorized use."
What areas are included in the protection scope of road infrastructure?,"Above ground, underground, on water, under water, and in the air."
Who is responsible for protecting road infrastructure at the national level?,The Ministry of Transport.
What role do local governments play in protecting road infrastructure?,"They enforce regulations, prevent encroachment, and make boundary markers public."
What should road managers do when they detect damage to infrastructure?,"Repair, report to local authorities, and take corrective actions."
Who should be notified if road infrastructure is damaged or encroached upon?,"Local authorities, road management agencies, or the nearest police station."
What must authorities do after receiving a report of damaged road infrastructure?,Take immediate corrective actions to ensure safe traffic flow.
What are examples of auxiliary structures attached to roads?,"Road signs, drainage systems, retaining walls, boundary markers, and intelligent traffic management systems."
Are traffic police signals considered part of road auxiliary structures?,"No, only road signs are included."
What are some examples of road safety structures?,"Retaining walls, protective barriers, and drainage systems."
What is an intelligent traffic management system?,"A system that collects, processes, and stores road infrastructure data."
What devices are used for monitoring and evaluating road conditions?,"Sensors, monitoring cameras, and technical assessment systems."
What types of equipment are used for managing road operations?,"Rescue equipment, ferry transport, and disaster recovery tools."
What is the purpose of road drainage systems?,To prevent water accumulation and road damage.
What safety measures should be in place at ferry terminals?,"Safety barriers, warning signs, and operational guidelines."
Why must road infrastructure be updated with auxiliary structures and equipment?,"To improve safety, efficiency, and road management."
How should road auxiliary structures be maintained?,"Regular inspections, repairs, and compliance with technical standards."
Who is responsible for adding auxiliary structures and equipment to existing roads?,Relevant road management authorities.
What are the types of road signs installed on roads?,"Traffic lights, regulatory signs, warning signs, guide signs, auxiliary signs, road markings, and sound signals."
What is the order of vertical traffic light installation?,"Red on top, yellow in the middle, green at the bottom."
What is the order of horizontal traffic light installation?,"Red on the left, yellow in the middle, green on the right."
Where should road signs be positioned?,"On the right side or above the road, and in some cases, on the left for additional guidance."
What is the purpose of road markings?,"To provide road users with visual guidance, either independently or in combination with traffic signs and signals."
What are reflective studs used for?,To guide vehicles at night or in foggy conditions.
What is the function of kilometer posts (cột Km)?,To mark distances and help locate accidents or traffic congestion.
What is the function of H-markers (cọc H)?,To indicate intermediate distances between kilometer posts.
Who is responsible for installing road signs in new road projects?,The project investor or road construction authority.
Who manages and maintains road signs after installation?,The road management authority or infrastructure operators.
What are safety structures on roads used for?,To protect road users and vehicles by preventing accidents and ensuring safe travel.
What is an emergency escape lane used for?,To help vehicles that lose control on steep roads to slow down and stop safely.
What is the purpose of a rescue tunnel in a road tunnel system?,To provide an emergency exit and assist in rescue operations during incidents.
Where are protective barriers and guardrails placed?,In hazardous locations to prevent vehicles from veering off the road.
What is the function of anti-glare screens on roads?,To reduce the impact of headlight glare from oncoming traffic.
Where are convex mirrors installed?,At sharp bends and intersections with limited visibility to improve driver awareness.
What is the role of road lighting systems?,To enhance visibility and ensure safe travel at night or in tunnels.
What is the function of road dividers?,To separate lanes and prevent collisions between vehicles moving in opposite directions.
Why are noise barriers installed along roads?,To reduce noise pollution from vehicle traffic in sensitive areas.
What are speed bumps used for?,To force vehicles to slow down in high-risk areas.
What is the purpose of traffic organization?,"To ensure smooth, safe, and efficient transportation from planning to operation and maintenance."
What factors are considered in road traffic organization?,"Lane regulations, speed limits, traffic flow management, intersections, and road signs."
How is lane organization determined?,"By allocating separate lanes for vehicles, pedestrians, and specific transport types."
What is the role of intelligent traffic management systems?,"To monitor, control, and optimize traffic flow through technology."
Who is responsible for implementing traffic organization on national roads?,The Ministry of Transport and local authorities.
What should be done to manage traffic congestion?,"Monitoring, evaluating traffic conditions, and adjusting road organization accordingly."
What regulations apply to expressway traffic management?,"Approved traffic plans, full signage installation, and intelligent monitoring systems."
What is the design speed of a road?,The calculated speed used for designing road infrastructure to ensure safety.
How is operational speed determined?,"Based on design speed, road conditions, weather, traffic flow, and vehicle types."
Can different lanes have different speed limits?,"Yes, based on lane purpose and width to maintain safe and efficient traffic flow."
What factors affect vehicle spacing on roads?,"Speed limits, weather, traffic density, and actual road conditions."
What must be installed before an expressway is opened?,Complete signage for speed limits and vehicle spacing.
Who regulates detailed speed and spacing rules?,The Minister of Transport.
What is the load capacity of a road?,The ability of a road to bear traffic loads safely and ensure its lifespan.
What does the road clearance limit define?,The maximum width and height allowed for vehicles and cargo to pass safely.
Who is responsible for announcing road load capacity and clearance limits at the national level?,The Ministry of Transport.
Who announces load and clearance limits for provincial roads?,Provincial People's Committees.
What responsibility do road managers have regarding load and clearance limits?,Providing necessary information to authorities for public announcement.
What must road investors do regarding load and clearance data?,Supply data to relevant authorities for official publication.
What restriction applies to roads shared with dikes?,Their load capacity cannot exceed the permitted weight for vehicles allowed on dikes.
What is included in road infrastructure investment and construction?,"New construction, upgrades, expansions, and renovations of road infrastructure."
What legal regulations must road infrastructure projects comply with?,"Investment, public investment, PPP investment, construction, and budget laws."
Who is responsible for investing in national highways?,The Ministry of Transport.
Who invests in local roads and related infrastructure?,Provincial and local authorities.
What criteria must road construction projects meet?,"Compliance with planning, technical standards, environmental protection, and climate adaptation."
Why should road projects consider accessibility?,"To ensure safe and convenient travel for disabled people, the elderly, and others."
When should a road be built in phases?,When considering transport demand and resource availability for efficient investment.
"What are the requirements for road projects near rivers, lakes, and dikes?","They must not cause erosion, disrupt water flow, or increase disaster risks."
When must side roads be constructed?,When highways pass through urban or densely populated areas.
What infrastructure is required for roads with passenger transport services?,Bus stops must be built for picking up and dropping off passengers.
What must be done when constructing new schools near roads?,Develop suitable parking and pick-up/drop-off points in coordination with road authorities.
How should road infrastructure under PPP agreements be upgraded?,Following public-private partnership investment laws and Article 48 of the Road Law.
What should be done with roads that do not meet technical standards?,They must be gradually upgraded or reconstructed to meet road standards.
When is road safety assessment conducted?,"During project planning, detailed design, before operation, and during operation."
What does road safety assessment involve?,"Analyzing designs, accident causes, and site inspections to identify potential hazards."
What is the purpose of road safety evaluation?,To ensure smooth and safe traffic flow by identifying and mitigating risks.
Who conducts road safety audits?,Businesses providing road safety audit services independent of designers and contractors.
What does the safety assessment report support?,"Project approval, design approval, and operational safety measures."
How is safety audit funding managed?,Included in project costs or road maintenance budgets.
What qualifications must road safety auditors have?,They must be trained by accredited institutions.
Who sets regulations on road safety audits?,The Government.
Why is road connectivity important?,"To support economic development, defense, and transport efficiency."
What are the key aspects of road connectivity?,"Connecting roads, access to key areas, and links with other transport modes."
What requirements must be met for connecting roads?,"Design compliance, safety, and maintaining road capacity."
What additional criteria apply to highway connections?,Minimum spacing between access points as per regulations.
